Tmedia,Urmedia,Vento_Km,Pressao,Chuva_mm,Rad_w_m2,ET_mm,ETClass
18.615,91,27.9,1007.6325,0,398,0.14,0
20.30208333,77.93055556,96.53,1009.609028,0,24664,3.11,3
18.16041667,76.15972222,71.91,1012.392361,0,35029,4.01,4
20.35138889,64.72222222,85.57,1012.145833,0,35000,4.4,4
22.51458333,60.97222222,122.27,1008.088889,0,33764,4.81,5
23.63125,65.72222222,88.55,1004.683333,0,29729,4.11,4
20.59583333,81.07638889,237.47,1006.640278,19.6,19304,3.08,3
16.7375,75.38888889,188.03,1014.790278,0,29945,3.97,4
17.32638889,68.02777778,159.3,1014.703472,0,34245,4.34,4
18.93055556,70.16666667,137.85,1012.826389,0,32935,4.18,4
21.00833333,66.01388889,114.42,1013.621528,0,32146,4.23,4
22.17083333,63.19444444,115.21,1014.475694,0,31746,4.37,4
21.80694444,70.59027778,136.47,1012.855556,0,29842,4.14,4
20.51597222,79.5625,136.82,1013.649306,0,26138,3.22,3
20.06527778,73,186.86,1012.784722,0,31856,4.18,4
21.26388889,78.44444444,105.39,1009.478472,0,28867,3.54,4
21.23541667,82.27777778,237.06,1010.18125,0,22429,3.33,3
21.09513889,81.72222222,317.27,1012.475694,0,19679,3.13,3
19.55555556,86.55555556,290.99,1008.976389,2.6,15478,2.34,2
16.65833333,75.75694444,106.88,1010.0625,0.2,28383,3.34,3
19.60555556,71.79861111,130.21,1007.113889,0,29264,4.09,4
22.23888889,75.77777778,120.92,1006.45,0,22280,3.12,3
17.95416667,77.90972222,233.42,1013.356944,0,27464,3.76,4
16.77916667,68.46527778,200.32,1016.864583,0,24909,3.69,4
16.22013889,79.5625,137.79,1016.320833,0,17721,2.37,2
16.15902778,82.96527778,58.64,1016.428472,0.2,18711,2.07,2
17.05416667,66.88194444,70.12,1017.407639,0,27885,3.33,3
18.64722222,61.875,113.81,1015.18125,0,27340,3.68,4
18.97777778,69.02083333,106.08,1014.100694,0,27137,3.56,4
18.15138889,75.35416667,193.39,1015.425694,0,26414,3.7,4
17.05694444,67.70833333,275.06,1017.539583,0,26087,4.02,4
14.30491803,87.03278689,114.29,1016.413115,1.6,2143,0.52,1
18.88333333,78.85714286,43.34,1014.847619,0,176,0.35,0
20.00763889,76.52777778,175.58,1014.774306,0,18797,2.86,3
19.80763889,84.02777778,145.57,1016.036806,0,13905,2.08,2
20.62569444,79.55555556,154.2,1017.155556,0,21966,2.97,3
18.84583333,85.91666667,136.64,1018.484722,0,22038,2.51,3
19.58819444,84.72222222,101.75,1018.236111,0,20930,2.3,2
19.61111111,84.48611111,161.06,1015.63125,0.2,21901,2.64,3
21.38402778,79.67361111,217.14,1014.211806,0,21250,3.13,3
22.11736111,78.91666667,182.02,1012.358333,0,19461,2.92,3
20.83888889,89.95833333,312.85,1004.600694,11.8,4883,1.06,1
16.93958333,91.11805556,269.39,1010.447222,0,6534,0.95,1
15.20833333,89.36111111,171.63,1015.256944,0,17138,1.94,2
15.40486111,86.49305556,284.57,1015.656944,0,18416,2.36,2
14.28888889,93.50694444,371.42,1013.25625,40,2216,0.54,1
13.36388889,85.96527778,129.71,1014.85625,0.2,12907,1.4,1
12.19305556,92.15972222,59.68,1013.059722,0.2,14027,1.31,1
12.54097222,85.86805556,73.61,1011.470833,0.2,16491,1.69,2
11.88680556,80.27777778,65.77,1015.224306,0,20810,2.13,2
13.56319444,78.07638889,96.79,1017.53125,0,21024,2.42,2
14.40347222,75.875,140.44,1014.40625,0,21185,2.72,3
17.66527778,88.04861111,183.41,1011.633333,1,12999,1.69,2
18.81180556,94.04861111,163.36,1014.596528,0.2,10211,1.18,1
18.83263889,93.74305556,299.16,1010.994444,63.6,1140,0.47,0
21.37083333,79.53472222,366.91,1005.441667,0,17662,3.32,3
19.32013889,86.07638889,173.92,1009.294444,0,9688,1.46,1
14.83263889,95.02083333,189.45,1010.777778,43.6,1706,0.37,0
18.15555556,96.1875,189.18,1007.032639,66,4894,0.52,1
16.55347222,97.29861111,126.69,1007.417361,28.2,3379,0.33,0
12.99652778,76.29861111,121.63,1013.518056,0.2,16986,1.97,2
6.848351648,78.73626374,31.77,1017.507692,0,17933,1.57,2
11.19574468,88.4893617,48.47,1007.257447,0,477,0.11,0
12.00277778,83.55555556,160.02,1006.98125,0,14469,1.59,2
8.223611111,66.79861111,251.79,1014.070833,0,19929,2.85,3
10.51875,63.5,192.41,1013.864583,0,19726,2.94,3
11.60763889,73.96527778,141.12,1011.930556,0,12190,1.7,2
8.574305556,78.68055556,161.18,1021.647222,0,15937,1.89,2
5.281944444,76.3125,102.7,1026.200694,0,20260,1.99,2
11.70902778,79.89583333,283.79,1018.692361,0,18830,2.56,3
13.48888889,91.74305556,104.82,1015.909028,0.2,4771,0.63,1
13.62777778,92.34027778,101.67,1017.211806,3.8,6340,0.63,1
7.889583333,83.25694444,233.5,1025.38125,0.4,19721,2.03,2
9.045833333,87.75694444,259.11,1025.875,0,9504,1.17,1
14.6875,82.89583333,285.6,1023.642361,0,18839,2.64,3
16.87916667,80.76388889,220.17,1022.861806,0,18561,2.5,3
17.36666667,81.26388889,159.66,1019.878472,0,18100,2.4,2
17.80972222,76.44444444,165.96,1014.4,0,15625,2.37,2
17.00069444,88.96527778,209.95,1009.558333,25.8,7355,1.21,1
15.47430556,94.4375,216.6,1007.771528,3.2,6036,0.72,1
11.4,86.125,174.28,1016.661111,0.2,19488,2,2
11.85138889,87.95833333,232.43,1013.982639,0,15572,1.79,2
12.68402778,93.74305556,207.97,1008.2875,39,4716,0.66,1
